"","Short_Name","the_geom","Address","Lat","Long","Grade_Cat","AM_Bell_1415","PM_Bell_1415","AM_Bell_1516","PM_Bell_1415.1","changedBell"
"532","SAUGANASH","POINT (-87.7459514446418 41.99116924559475)","6040 N Kilpatrick Ave",41.991169,-87.745951,"ES",NA,NA,NA,NA,0
"533","SAWYER","POINT (-87.70500578092809 41.79749820260434)","5248 S Sawyer Ave",41.797498,-87.705006,"ES",NA,NA,NA,NA,0
"534","SAYRE","POINT (-87.79872070516765 41.914150629630946)","1850 N Newland Ave",41.914151,-87.798721,"ES",NA,NA,NA,NA,0
"535","SCAMMON","POINT (-87.73217877731558 41.94167760343948)","4201 W Henderson St",41.941678,-87.732179,"ES",NA,NA,NA,NA,0
"536","SCHMID","POINT (-87.59693188137994 41.71698887204983)","9755 S Greenwood Ave",41.716989,-87.596932,"ES",NA,NA,NA,NA,0
"537","SCHUBERT","POINT (-87.76119046882305 41.930403315731624)","2727 N Long Ave",41.930403,-87.76119,"ES",NA,NA,NA,NA,0
"538","SCHURZ HS","POINT (-87.73561211025743 41.94636454254735)","3601 N Milwaukee Ave",41.946365,-87.735612,"HS","7:45 AM","3:00 PM","7:45 AM","3:00 PM",2
"539","SENN HS","POINT (-87.6671361896679 41.98902853819406)","5900 N Glenwood Ave",41.989029,-87.667136,"HS",NA,NA,NA,NA,0
"540","SEWARD","POINT (-87.66877201103031 41.81033324026888)","4600 S Hermitage Ave",41.810333,-87.668772,"ES",NA,NA,NA,NA,0
"541","SHABAZZ - DUSABLE HS","POINT (-87.62501515001941 41.80430932611958)","4934 S Wabash Ave",41.804309,-87.625015,"HS",NA,NA,NA,NA,0
"542","SHABAZZ - SHABAZZ","POINT (-87.60025455370554 41.752458488475774)","7823 S Ellis Ave",41.752458,-87.600255,"ES",NA,NA,NA,NA,0
"543","SHABAZZ - SIZEMORE","POINT (-87.66763900783317 41.7673901124393)","6936 S Hermitage Ave",41.76739,-87.667639,"ES",NA,NA,NA,NA,0
"544","SHERIDAN","POINT (-87.64133980534018 41.84440015845198)","533 W 27th St",41.8444,-87.64134,"ES","7:45 AM","2:45 PM","7:30 AM","2:45 PM",1
"545","SHERMAN","POINT (-87.65022144596368 41.79976620500945)","1000 W 52nd St",41.799766,-87.650221,"ES",NA,NA,NA,NA,0
"546","SHERWOOD","POINT (-87.63227938171381 41.79080024288842)","245 W 57th St",41.7908,-87.632279,"ES",NA,NA,NA,NA,0
"547","SHIELDS","POINT (-87.68964723567423 41.81590948606922)","4250 S Rockwell St",41.815909,-87.689647,"ES",NA,NA,NA,NA,0
"548","SHIELDS MIDDLE","POINT (-87.68977977296805 41.8064914104356)","2611 W 48th St",41.806491,-87.68978,"ES",NA,NA,NA,NA,0
"549","SHOESMITH","POINT (-87.59390494200514 41.80429401615557)","1330 E 50th St",41.804294,-87.593905,"ES",NA,NA,NA,NA,0
"550","SHOOP","POINT (-87.65866905249726 41.69091887642116)","11140 S Bishop St",41.690919,-87.658669,"ES",NA,NA,NA,NA,0
"551","SIMEON HS","POINT (-87.63541036866685 41.745781229905525)","8147 S Vincennes Ave",41.745781,-87.63541,"HS","8:00 AM","3:15 PM","8:00 AM","3:15 PM",2
"552","SIMPSON HS","POINT (-87.66872222929887 41.8643654823773)","1321 S Paulina St",41.864365,-87.668722,"HS","8:00 AM","3:00 PM","8:00 AM","3:00 PM",2
"553","SKINNER","POINT (-87.65941897613492 41.87910254260814)","1260 W Adams St",41.879103,-87.659419,"ES",NA,NA,NA,NA,0
"554","SKINNER NORTH","POINT (-87.6448414953384 41.905109118819546)","640 W Scott St",41.905109,-87.644841,"ES","8:30 AM","3:30 PM","8:30 AM","3:30 PM",2
"555","SMITH","POINT (-87.60466040848978 41.70755761663942)","744 E 103rd St",41.707558,-87.60466,"ES",NA,NA,NA,NA,0
"556","SMYSER","POINT (-87.7819745380622 41.95886803554341)","4310 N Melvina Ave",41.958868,-87.781975,"ES",NA,NA,NA,NA,0
"557","SMYTH","POINT (-87.65344502704846 41.86535101769646)","1059 W 13th St",41.865351,-87.653445,"ES",NA,NA,NA,NA,0
"558","SOCIAL JUSTICE HS","POINT (-87.73529946918104 41.83350727399463)","3120 S Kostner Ave",41.833507,-87.735299,"HS",NA,NA,NA,NA,0
